Nome,Construção,Linha,Inauguração,Idade
Francisco Morato,CPTM,7,14/02/1867,152
Água Branca,CPTM,7,16/02/1867,152
Brás,CPTM,7,16/02/1867,152
Jundiaí,CPTM,7,16/02/1867,152
Luz,CPTM,7,16/02/1867,152
Perus,CPTM,7,16/02/1867,152
Rio Grande da Serra,CPTM,10,16/02/1867,152
Santo André,CPTM,10,16/02/1867,152
Júlio Prestes,CPTM,8,10/07/1872,147
Poá,CPTM,11,06/01/1875,145
Mogi das Cruzes,CPTM,11,06/11/1875,144
Suzano,CPTM,11,06/11/1875,144
Barueri,CPTM,8,10/07/1875,144
Itapevi,CPTM,8,10/07/1875,144
Campo Limpo Paulista,CPTM,7,01/01/1881,139
Mauá,CPTM,10,01/04/1883,136
São Caetano do Sul,CPTM,10,01/05/1883,136
Caieiras,CPTM,7,01/07/1883,136
Pirituba,CPTM,7,01/02/1885,134
Ribeirão Pires,CPTM,10,01/03/1885,134
Ipiranga,CPTM,10,01/04/1886,133
Franco da Rocha,CPTM,7,01/02/1888,131
Várzea Paulista,CPTM,7,01/07/1891,128
Jaraguá,CPTM,7,01/10/1891,128
Palmeiras–Barra Funda,CPTM,7,19/05/1892,127
Osasco,CPTM,8,20/08/1895,124
Juventus-Mooca,CPTM,10,07/10/1898,121
Lapa,CPTM,7,20/02/1899,120
Botujuru,CPTM,7,17/09/1908,111
Jundiapeba,CPTM,11,20/07/1914,105
Presidente Altino,CPTM,8,06/03/1919,100
Santa Terezinha,CPTM,8,01/01/1920,100
Domingos de Moraes,CPTM,8,25/06/1920,99
Capuava,CPTM,10,15/09/1920,99
Carapicuíba,CPTM,8,01/07/1921,98
Amador Bueno,CPTM,8,08/05/1922,97
Calmon Viana,CPTM,11,03/05/1924,95
Engenheiro Manoel Feio,CPTM,12,07/02/1926,93
Itaim Paulista,CPTM,12,07/02/1926,93
Itaquaquecetuba,CPTM,12,07/02/1926,93
Ferraz de Vasconcelos,CPTM,11,29/07/1926,93
Quitaúna,CPTM,8,29/05/1929,90
Braz Cubas,CPTM,11,13/09/1929,90
Jandira,CPTM,8,20/03/1931,88
Imperatriz Leopoldina,CPTM,8,01/07/1931,88
Utinga,CPTM,10,01/08/1933,86
Comendador Ermelino,CPTM,12,01/01/1934,86
Engenheiro Goulart,CPTM,12,01/01/1934,86
São Miguel Paulista,CPTM,12,01/01/1934,86
Antônio João,CPTM,8,18/03/1941,78
Comandante Sampaio,CPTM,8,12/10/1946,73
Tamanduateí,CPTM,10,01/01/1947,73
Sagrado Coração,CPTM,8,01/01/1950,70
Santa Rita,CPTM,8,01/01/1950,70
Aracaré,CPTM,12,20/08/1950,69
Jardim Belval,CPTM,8,01/01/1951,69
Engenheiro Cardoso,CPTM,8,01/07/1951,68
General Miguel Costa,CPTM,8,01/07/1951,68
Jardim Silveira,CPTM,8,01/07/1951,68
Prefeito Saladino,CPTM,10,29/11/1952,67
Baltazar Fidélis,CPTM,7,01/09/1955,64
Vila Clarice,CPTM,7,01/09/1955,64
Jurubatuba,CPTM,9,25/01/1957,62
Morumbi,CPTM,9,25/01/1957,62
Lapa,CPTM,8,01/06/1958,61
Piqueri,CPTM,7,01/07/1960,59
Socorro,CPTM,9,11/11/1960,59
Conceição,Metrô,1,14/09/1974,45
Jabaquara,Metrô,1,14/09/1974,45
Praça da Árvore,Metrô,1,14/09/1974,45
Santa Cruz,Metrô,1,14/09/1974,45
São Judas,Metrô,1,14/09/1974,45
Saúde,Metrô,1,14/09/1974,45
Vila Mariana,Metrô,1,14/09/1974,45
Ana Rosa,Metrô,1,14/02/1975,44
Liberdade,Metrô,1,17/02/1975,44
Paraíso,Metrô,1,17/02/1975,44
São Joaquim,Metrô,1,17/02/1975,44
Vergueiro,Metrô,1,17/02/1975,44
Armênia,Metrô,1,26/09/1975,44
Carandiru,Metrô,1,26/09/1975,44
Luz,Metrô,1,26/09/1975,44
Santana,Metrô,1,26/09/1975,44
São Bento,Metrô,1,26/09/1975,44
Tietê,Metrô,1,26/09/1975,44
Tiradentes,Metrô,1,26/09/1975,44
Estudantes,CPTM,11,10/11/1976,43
Sé,Metrô,1,17/02/1978,41
Brás,Metrô,3,10/03/1979,40
Bresser-Mooca,Metrô,3,23/08/1980,39
Pedro II,Metrô,3,23/08/1980,39
Ceasa,CPTM,9,04/04/1981,38
Pinheiros,CPTM,9,04/04/1981,38
Villa Lobos-Jaguaré,CPTM,9,04/04/1981,38
Cidade Universitária,CPTM,9,04/05/1981,38
Belém,Metrô,3,05/09/1981,38
Tatuapé,Metrô,3,05/11/1981,38
República,Metrô,3,24/04/1982,37
Guapituba,CPTM,10,04/06/1983,36
Anhangabaú,Metrô,3,26/11/1983,36
Santa Cecília,Metrô,3,10/12/1983,36
Santo Amaro,CPTM,9,26/01/1986,33
Carrão,Metrô,3,31/05/1986,33
Penha,Metrô,3,31/05/1986,33
Guilhermina-Esperança,Metrô,3,27/08/1988,31
Vila Matilde,Metrô,3,27/08/1988,31
Artur Alvim,Metrô,3,17/09/1988,31
Patriarca,Metrô,3,17/09/1988,31
Corinthians-Itaquera,Metrô,3,01/10/1988,31
Marechal Deodoro,Metrô,3,17/12/1988,31
Palmeiras–Barra Funda,Metrô,3,17/12/1988,31
Brigadeiro,Metrô,2,25/01/1991,28
Consolação,Metrô,2,25/01/1991,28
Paraíso,Metrô,2,25/01/1991,28
Trianon-Masp,Metrô,2,25/01/1991,28
Ana Rosa,Metrô,2,12/09/1992,27
Clínicas,Metrô,2,12/09/1992,27
Grajaú,CPTM,9,26/09/1992,27
Antônio Gianetti Neto,CPTM,11,10/01/1998,22
Jardim São Paulo,Metrô,1,29/04/1998,21
Parada Inglesa,Metrô,1,29/04/1998,21
Tucuruvi,Metrô,1,29/04/1998,21
Sumaré,Metrô,2,21/11/1998,21
Vila Madalena,Metrô,2,21/11/1998,21
Dom Bosco,Metrô,11,27/04/2000,19
Granja Julieta,CPTM,9,04/05/2000,19
Corinthians-Itaquera,Metrô,11,27/05/2000,19
Guaianases,Metrô,11,27/05/2000,19
José Bonifácio,Metrô,11,27/05/2000,19
Berrini,CPTM,9,14/06/2000,19
Hebraica-Rebouças,CPTM,9,14/06/2000,19
Cidade Jardim,CPTM,9,30/06/2000,19
Vila Olímpia,CPTM,9,23/03/2001,18
Campo Limpo,CPTM,5,20/10/2002,17
Capão Redondo,CPTM,5,20/10/2002,17
Giovanni Gronchi,CPTM,5,20/10/2002,17
Largo Treze,CPTM,5,20/10/2002,17
Santo Amaro,CPTM,5,20/10/2002,17
Vila das Belezas,CPTM,5,20/10/2002,17
Santos-Imigrantes,Metrô,2,30/03/2006,13
Chácara Klabin,Metrô,2,09/05/2006,13
Alto do Ipiranga,Metrô,2,30/06/2007,12
Autódromo,CPTM,9,17/10/2007,12
USP Leste,CPTM,12,29/01/2008,11
Primavera–Interlagos,CPTM,9,21/04/2008,11
Jardim Helena–Vila Mara,CPTM,12,28/05/2008,11
Jardim Romano,CPTM,12,16/07/2008,11
Sacomã,Metrô,2,10/01/2010,10
Faria Lima,Metrô,4,25/05/2010,9
Paulista,Metrô,4,25/05/2010,9
Vila Prudente,Metrô,2,21/08/2010,9
Tamanduateí,Metrô,2,21/09/2010,9
Butantã,Metrô,4,28/03/2011,8
Pinheiros,Metrô,4,16/05/2011,8
Luz,Metrô,4,15/09/2011,8
República,Metrô,4,15/09/2011,8
Vila Aurora,CPTM,7,09/09/2013,6
Adolfo Pinheiro,Metrô,5,12/02/2014,5
Oratório,Metrô,15,30/08/2014,5
Vila Prudente,Metrô,15,30/08/2014,5
Fradique Coutinho,Metrô,4,15/11/2014,5
Alto da Boa Vista,Metrô,5,06/09/2017,2
Borba Gato,Metrô,5,06/09/2017,2
Brooklin,Metrô,5,06/09/2017,2
Higienópolis–Mackenzie,Metrô,4,23/01/2018,2
Eucaliptos,Metrô,5,02/03/2018,1
Aeroporto–Guarulhos,CPTM,13,31/03/2018,1
Guarulhos-CECAP,CPTM,13,31/03/2018,1
Oscar Freire,Metrô,4,04/04/2018,1
Moema,Metrô,5,05/04/2018,1
Camilo Haddad,Metrô,15,06/04/2018,1
São Lucas,Metrô,15,06/04/2018,1
Vila Tolstói,Metrô,15,06/04/2018,1
Vila União,Metrô,15,06/04/2018,1
AACD-Servidor,Metrô,5,31/08/2018,1
Chácara Klabin,Metrô,5,28/09/2018,1
Hospital São Paulo,Metrô,5,28/09/2018,1
Santa Cruz,Metrô,5,28/09/2018,1
São Paulo-Morumbi,Metrô,4,27/10/2018,1
Campo Belo,Metrô,5,08/04/2019,0
Jardim Planalto,Metrô,15,26/08/2019,0
Fazenda da Juta,Metrô,15,16/12/2019,0
São Mateus,Metrô,15,16/12/2019,0
Sapopemba,Metrô,15,16/12/2019,0
